text,score
今天挑戰了自己一直不敢嘗試的咖哩口味，意外成功,4
為什麼別人都可以輕易做到的事，我卻要花這麼多力氣,2
今天去買菜時老闆多送了一顆蔥，覺得今天運氣不錯,4
心裡有種莫名的空虛感，好像靈魂抽離了一樣,2
今天晚餐跟家人一起包水餃，過程很熱鬧,4
每天都覺得時間不夠用，壓力大到快要窒息,2
今天把手機桌布換成喜歡的風景照，看了心情很放鬆,4
覺得自己無論做什麼都無法得到認同，好沮喪,2
今天早上記得帶傘，剛好躲過了一場大雨,4
只要想到人際關係就覺得好累，想一個人躲起來,2
今天試著早十分鐘出門，發現路上空氣很好也比較不趕,4
覺得自己的情緒像個不定時炸彈，隨時會波及別人,2
今天晚上去了夜跑，吹著晚風流汗的感覺真棒,4
對身邊的一切都感到不耐煩，脾氣變得好暴躁,2
今天去郵局順利把事情辦完，沒有排到隊好幸運,4
腦袋鈍鈍的，連看書都看不懂一個字，覺得自己變笨了,2
今天晚餐吃了熱騰騰的牛肉麵，胃裡暖洋洋的,4
覺得自己活得好卑微，總是小心翼翼看別人臉色,2
今天把鞋子刷乾淨了，踩在路上心情特別輕盈,4
心裡好像壓了一塊大石，連呼吸都要很用力,2
今天下午小睡了半小時，醒來精神好多了,4
覺得自己就像陀螺一樣被逼著轉，完全停不下來,2
今天晚餐加了顆荷包蛋，覺得生活還是有一點小確幸,4
每次情緒崩潰過後，都覺得自己好醜陋、好沒用,1
今天把房間的燈泡換成黃光，房間變得溫馨多了,4
覺得自己是一座孤島，沒有人願意靠近我,1
今天早上喝到了一杯完美的熱拿鐵，開啟美好的一天,4
對任何事情都提不起勁，連洗澡都覺得是個大工程,1
今天散步的時候遇到了一隻親人的狗狗，摸了牠好久,4
覺得自己每天都在演戲，裝作很快樂其實心裡很破爛,2
今天準時把所有報告交出去，終於可以安心睡個好覺,4
我是不是不夠好?,2
我是不是不夠完美?,2
不夠好,2
不夠完美,2
難道喜歡也是一種錯嗎?,2
好像單獨一個人會更自在,3
今天在超商結帳時零錢掉滿地，覺得自己好笨拙,2
下午陽光剛好灑在書桌上，讀書的效率特別高,4
只要想到週末要參加家族聚會，肚子就開始隱隱作痛,2
今天晚餐試著做了蛋炒飯，粒粒分明非常成功,4
覺得自己每天都在原地踏步，看著別人成功心裡好慌,2
今天去公園散步時看到一隻可愛的小松鼠，心情被療癒了,4
每次開會要發表意見心跳就飛快，一句話都說不說,2
今天把衣櫃裡的衣服重新摺疊分類，看了好舒壓,4
深夜總是特別容易放大自己的缺點，覺得自己一無是處,2
今天早起喝了一杯溫開水，感覺整個人都清醒了,4
覺得自己就像個陀螺，被生活逼著轉卻不知道為了什麼,2
今天跟好朋友通電話大笑了一場，壓力釋放了不少,4
對未來充滿了不確定感，每天都活在莫名的驚恐中,2
今天把筆電桌面整理得乾乾淨淨，心情也清爽起來,4
總覺得自己無論怎麼努力，都無法達到父母的期望,2
今天下班時買到了最後一個想吃很久的甜點,4
心裡有一種說不出的疲憊，連呼吸都覺得好沉重,2
今天試著早睡半小時，隔天醒來精神真的好很多,4
覺得自己跟周遭的人格格不入，像個局外人,2
今天跟寵物玩了一陣子，內心的焦慮平靜了許多,4
每天醒來的第一個念頭就是今天好難熬，想繼續逃避,2
今天學會了一個新的實用快捷鍵，工作效率提高不少,4
覺得自己的人生就像一場悲劇，怎麼走都是死胡同,1
今天中午去吃了喜歡的麵店，老闆還多送了一顆滷蛋,4
腦海裡一直浮現負面的對話，自己跟自己內耗好久,2
今天把房間的床單換成了新買的舒服材質，超好睡,4
覺得自己每天都在假裝快樂，其實內心早就破爛不堪,2
今天散步時微風吹過來很舒服，沒有想太多煩惱,4
每次看到別人曬恩愛或成功，心裡就覺得好酸、好自卑,2
今天把一直拖延的行政表單填完送出了，一身輕巧,4
對所有事情都失去耐性，連家人關心的一句話都覺得煩,2
今天試著自己煮了一頓健康的晚餐，很有成就感,4
覺得自己是一座孤島，任憑風浪打過來也沒有人救我,1
今天早上出門剛好趕上公車，沒有遲到好幸運,4
腦袋鈍鈍的，連看一頁書都無法集中注意力，好挫折,2
今天晚上洗了一個熱水澡，感覺肌肉的緊繃都散開了,4
覺得自己活得好卑微，總是戰戰兢兢看別人的臉色過活,2
今天收到了一封客戶的肯定訊息，覺得努力被看見了,4
心裡好像壓了一塊大石頭，連笑都覺得好勉強、好累,2
今天下午喝到了完美比例的鮮奶茶，心情變得很輕盈,4
覺得自己每天都在演戲，好怕哪天面具會掉下來,2
今天把陽台擦拭乾淨，放了新的盆栽覺得很有生氣,4
每次情緒崩潰過後，看著鏡子裡的自己都覺得好陌生,2
今天晚餐加了顆荷包蛋，覺得生活還是有一點小確幸,4
對任何事情都提不起勁，連洗頭都覺得是個大工程,2
今天散步的時候遇到了一隻親人的流浪貓，被療癒了,4
覺得自己每天都在做白工，完全看不到未來的希望,1
今天準時把所有代辦事項清空，終於可以安心放假了,4
心裡有種莫名的恐慌感，好像隨時會有壞事發生,2
今天看了一部好笑的喜劇電影，大笑之後心情好多了,4
難道我就這麼笨嗎?,2
我就這麼不完美嗎?,2
是我不夠好嗎?,2
我就這麼糟糕嗎?,2
今天心情真好~,5
今天在捷運上突然一陣暈眩，心跳好快好怕自己昏倒,1
下午泡了一杯熱可可，配著窗外的雨聲覺得很安心,4
總覺得自己無論多努力，在主管眼裡永遠都是不合格的,2
今天把房間的鏡子擦得乾乾淨淨，照鏡子時心情好多了,4
連續幾天都只能睡三四個小時，腦袋重得像裝了鉛,2
今天晚餐試著煮了玉米濃湯，味道意外地很成功,4
每次要回覆主管的訊息前都要猶豫很久，好怕自己說錯話,2
今天早起去市場買了新鮮的水果，切來吃覺得很清甜,4
覺得自己的人生就像一條死胡同，怎麼走都走不出去,1
今天鞋櫃整理了一遍，把穿不到的舊鞋捐出去好清爽,4
看到身邊的朋友一個個買房結婚，心裡焦慮得快喘不過氣,2
今天散步時看到夕陽把天空染成粉紅色，覺得很美,4
心裡有一種說不出的空虛感，好像靈魂被抽乾了一樣,2
今天試著寫了十分鐘的手帳，把雜亂的心情梳理了一下,4
每次跟家人通電話掛掉之後，心裡都有一種沈重的罪惡感,2
今天出門剛好遇到綠燈，順利搭上車沒有遲到,4
覺得自己每天都在透支健康，但又不知道該怎麼停下來,2
今天晚上去公園慢跑了三公里，流完汗心情放鬆很多,4
腦海裡一直反覆出現過去失敗的畫面，折磨得睡不著,2
今天試著用了新的筆記軟體，排版看起來很舒服,4
覺得自己是一顆被世界遺棄的螺絲釘，哪裡也塞不進去,1
今天午餐吃了想很久的牛肉麵，覺得被好好照顧了,4
只要一想到下週的工作進度，胃就開始抽痛起來,2
今天把書桌上的筆筒整理乾淨，找東西順手多了,4
覺得自己無論對誰好，最後受傷的總是我自己,2
今天去超商買到了想喝的季節限定飲品，覺得很幸運,4
每次情緒上來時就想把自己關在房間裡，誰也不想見,2
今天洗完頭吹頭髮時，覺得髮質變滑順了心情很好,4
覺得自己每天都在演戲，扮演一個『正常』的大人好累,2
今天早上記得帶環保袋，出門買東西很順利,4
對所有的社交活動都感到恐懼，只想當個徹底的隱形人,2
今天晚上聽著喜歡的輕音樂入睡，沒有失眠,4
覺得自己像個廢物一樣，連最簡單的家事都拖延不做,2
今天陽光很好，把枕頭拿去曬太陽，晚上有暖香味,4
心裡明明有很多話想說，但打出來又全部刪掉,2
今天把手機裡用不到的App清空了，記憶體釋放好舒暢,4
每次看到新聞上的負面消息，就覺得世界快要毀滅了,2
今天試著做了簡單的伸展操，僵硬的肩膀鬆開了不少,4
覺得自己活得好卑微，連呼吸都像是在佔用人的空間,2
今天收到了一封朋友寄來的明信片，心裡湧起一股暖意,4
對未來完全找不到方向，每天過一天算一天像具行屍走肉,1
今天傍晚的微風吹起來涼涼的，散步時心情很平靜,4
總覺得別人都在背後議論我的外表和身材，好焦慮,2
今天準時完成了一直在拖延的報告，覺得一身輕巧,4
心裡好像壓了一塊巨石，連擠出一個微笑都好費力,2
今天早上泡了一杯完美的熱拿鐵，開啟了美好的一天,4
覺得自己無論做什麼決定都是錯的，陷入嚴重的自我懷疑,2
今天晚餐自己煮了番茄炒蛋，簡單卻很美味,4
每次深夜情緒潰堤時，都覺得自己是世界上最孤獨的人,1
今天下班回家時剛好看到一隻可愛的橘貓，被療癒了,4
今天去銀行辦事竟然沒排到隊，三分鐘就搞定超幸運,4
下午跟許久未見的大學室友通電話，聊到笑出來,4
每到星期日晚上就開始胸口悶悶的，焦慮感爆棚,2
今天把冰箱過期的食材清理乾淨，空間變好大了,4
覺得自己像個漏氣的氣球，一點小事就能讓我徹底洩氣,2
今天試著早十分鐘出門，發現早晨的空氣非常清新,4
看著鏡子裡的自己，突然覺得好陌生、好疲憊,2
今天傍晚看了一場很漂亮的天空，拍了張照片留念,4
每次想跟別人傾訴，話到嘴邊又吞回去怕帶給別人麻煩,2
今天把散落各處的充電線整理好，看了神清氣爽,4
覺得自己的人生就像一場荒謬的鬧劇，找不到意義,2
今天中午去吃了一直想嚐試的小吃，意外地很好吃,4
只要想到月底要繳的帳單跟房租，頭皮就陣陣發麻,2
今天把髒衣服一次洗完並烘乾，折好收進衣櫃好滿足,4
覺得自己無論怎麼努力，都追不上別人的車尾燈,2
今天午後在咖啡廳安靜地讀了一章書，非常充實,4
心裡有一種說不出的煩躁感，看什麼東西都不順眼,2
今天洗了個舒服的熱水澡，覺得疲勞消散了一半,4
覺得自己每天都在透支靈魂，快樂離我好遙遠,2
今天出門沒下雨，很順利地騎車抵達目的地,4
每次看到別人成雙成對，就覺得自己的孤單被無限放大,2
今天試著自己手沖了一杯咖啡，香氣讓人心情很好,4
覺得自己像個透明人，在團體中完全沒有存在感,2
今天把電腦桌面徹底整理過，工作效率提高不少,4
對所有事情都提不起興趣，連追劇都覺得好累,2
今天早上記得帶雨傘，剛好躲過下午的一場暴雨,4
心裡總有一種莫名的恐慌，好像隨時會有災難發生,2
今天傍晚去散步時買到了最後一個熱騰騰的紅豆餅,4
覺得自己每天都在戴著面具生活，真的好累好想哭,2
今天把髒兮兮的白鞋刷得雪白，穿出門心情極好,4
每次好不容易有點自信，馬上就會被一件小挫折打回原形,2
今天晚餐煮了熱騰騰的蛋花湯，胃裡暖洋洋的,4
覺得自己像是一具行屍走肉，活著卻沒有靈魂,1
今天收到網購的書籍，翻了一下覺得內容很吸引人,4
只要一想到要跟陌生人講電話，手心就緊張得全是汗,2
今天把房間的床單和枕頭套全部換新，躺上去超舒服,4
覺得自己的人生是一場徹底的災難，沒救了,1
今天下午跟寵物玩了一陣子，被牠們的傻氣逗樂了,4
心裡有股無處發洩的悶氣，塞在胸口快要窒息,2
今天準時下班沒有加班，多了好幾個小時可以放鬆,4
覺得自己無論走到哪裡都是多餘的，好想消失,1
今天試著做了幾分鐘的深呼吸冥想，心跳慢慢平穩下來,4
每次遇到突發狀況腦袋就會一片空白，完全無法思考,2
今天早起幫陽台的植物澆水，發現冒出了一朵新花苞,4
覺得自己的人生被焦慮綁架了，連睡覺都覺得不踏實,2
今天傍晚夕陽的餘暉很溫柔，看著心情變得柔軟許多,4
總覺得自己是個累贅，只會不斷帶給身邊的人麻煩,2
今天把客廳的地板拖得乾乾淨淨，赤腳踩著好舒服,4
心裡有一種深深的無力感，任憑怎麼掙扎都陷在泥沼裡,2
今天晚上看了場好笑的脫口秀，大笑之後壓力釋放了不少,4
今天開會時突然被點名發言，腦袋一片空白差點哭了出來,2
下午泡了一杯洋甘菊茶，淡淡的花香讓緊繃的神經放鬆了,4
總覺得自己無論表現得再好，心裡還是有一個填不滿的洞,2
今天把書桌上的文具重新分類收納，找東西變得好有效率,4
連續好幾天半夜醒來就睡不著，腦子一直轉個不停好折磨,2
今天晚餐自己煎了牛排，熟度剛剛好覺得自己很有天分,4
每次要回覆長輩的訊息壓力都超大，要想很久才敢送出,2
今天早上出門時天氣很好，微風吹過來神清氣爽的,4
覺得自己被困在無止盡的漩渦裡，怎麼努力都爬不上岸,2
今天把穿舊的衣服整理好拿去回收，衣櫃空間變清爽了,4
看到身邊的人都在往前奔跑，只有我還在原地感到恐慌,2
今天散步時遇到一隻不怕人的小黑貓，陪牠玩了一下,4
心裡有種說不出的疲憊，連開口說話都覺得好費力氣,2
今天試著寫了感恩日記，寫完覺得心裡踏實了許多,4
每次跟某個朋友聊天過後，都會陷入嚴重的自我懷疑,2
今天坐公車時剛好有位子可以坐，一路安穩到目的地,4
覺得自己每天都在透支生命能量，卻不知道為了什麼,2
今天晚上去河堤散步，吹著晚風看別人慢跑覺得很愜意,4
腦海裡總是不斷放大自己的缺點，覺得自己一無是處,2
今天試著用了新的行事帳軟體，把待辦事項排得整整齊齊,0
覺得自己像是一顆隨時會爆裂的氣球，壓力滿到極點,2
今天中午去吃了一直想吃的拉麵，湯頭濃郁超滿足,4
只要想到明天的排程跟會議，胸口就開始悶了起來,2
今天把房間的穿衣鏡擦得光亮，照鏡子心情變好了,4
覺得自己無論對別人多好，最後受傷的總是我自己,2
今天去超商剛好買到最後一份熱便當，覺得好幸運,4
每次情緒一上來就想把手機關機，逃離所有人的視線,2
今天洗完頭用了一直捨不得用的護發素，頭髮好柔順,4
覺得自己每天都在假裝堅強，其實內心早就碎成片,2
今天出門記得帶環保杯，買飲料還折抵了五塊錢,4
對所有需要社交的場合感到極度恐懼，只想躲起來,2
今天晚上聽著白噪音入睡，沒有失眠一覺到天亮,4
覺得自己像個廢物一樣，連最簡單的房間都整理不好,2
今天陽光超好，把棉被拿出去曬，晚上有暖暖的太陽味,4
心裡明明有很多委屈想哭，眼淚卻卡在眼眶流不出來,2
今天把手機裡亂七八糟的截圖全部清空，容量大釋放,4
每次看到社會新聞上的暴力事件，就覺得世界好危險,2
今天試著做了十分鐘的肩頸伸展，僵硬的肌肉鬆開了,4
覺得自己活得好卑微，連呼吸都像是在給別人添麻煩,2
今天收到了一位好久沒聯絡的朋友問候，心裡暖烘烘的,4
對未來完全失去了期待，每天過一天算一天像行屍走肉,1
今天傍晚的天空有很漂亮的雲彩，拍了好幾張照片,4
總覺得別人在背後偷偷議論我，連走路都覺得不自在,2
今天準時下班沒有被留下來加班，賺到了美好的夜晚,4
心裡好像壓著一塊千斤頂，連擠出一個微笑都好勉強,2
今天早上自己手沖了一杯咖啡，苦甜適中非常好喝,4
覺得自己無論做什麼決定都是錯的，陷入死胡同,2
今天晚餐自己煮了簡單的蛋炒飯，味道意外地好吃,4
每次深夜情緒潰堤時，都覺得自己是世界上最孤單的人,1
今天下班回家時路過花店，聞到淡淡的花香覺得被治癒了,4
今天在超商排隊時遇到插隊的人，心裡悶了一整天,2
下午泡了一杯熱可可，配著窗外的雨聲覺得好安穩,4
總覺得自己無論多努力，在主管眼裡永遠都是不及格的,2
今天把房間的鏡子擦得乾乾淨淨，照鏡子時心情好多了,4
連續幾天都只能睡三四個小時，腦袋重得像裝了鉛,2
今天晚餐試著煮了玉米濃湯，味道意外地很成功,4
每次要回覆主管的訊息前都要猶豫很久，好怕自己說錯話,2
今天早起去市場買了新鮮的水果，切來吃覺得很清甜,4
覺得自己的人生就像一條死胡同，怎麼走都走不出去,1
今天把鞋櫃整理了一遍，把穿不到的舊鞋捐出去好清爽,4
看到身邊的朋友一個個買房結婚，心裡焦慮得快喘不過氣,2
今天散步時看到夕陽把天空染成粉紅色，覺得很美,4
心裡有一種說不出的空虛感，好像靈魂被抽乾了一樣,2
今天試著寫了十分鐘的手帳，把雜亂的心情梳理了一下,4
每次跟家人通電話掛掉之後，心裡都有一種沈重的罪惡感,2
今天出門剛好遇到綠燈，順利搭上車沒有遲到,4
覺得自己每天都在透支健康，但又不知道該怎麼停下來,2
今天晚上去公園慢跑了三公里，流完汗心情放鬆很多,4
腦海裡一直反覆出現過去失敗的畫面，折磨得睡不著,2
今天試著用了新的筆記軟體，排版看起來很舒服,4
覺得自己是一顆被世界遺棄的螺絲釘，哪裡也塞不進去,1
今天午餐吃了想很久的牛肉麵，覺得被好好照顧了,4
只要一想到下週的工作進度，胃就開始抽痛起來,2
今天把書桌上的筆筒整理乾淨，找東西順手多了,4
覺得自己無論對誰好，最後受傷的總是我自己,2
今天去超商買到了想喝的季節限定飲品，覺得很幸運,4
每次情緒上來時就想把自己關在房間裡，誰也不想見,2
今天洗完頭吹頭髮時，覺得髮質變滑順了心情很好,4
覺得自己每天都在演戲，扮演一個『正常』的大人好累,2
今天早上記得帶環保袋，出門買東西很順利,4
對所有的社交活動都感到恐懼，只想當個徹底的隱形人,2
今天晚上聽著喜歡的輕音樂入睡，沒有失眠,4
覺得自己像個廢物一樣，連最簡單的家事都拖延不做,2
今天陽光很好，把枕頭拿去陽台曬太陽，晚上有暖香味,4
心裡明明有很多話想說，但打出來又全部刪掉,2
今天把手機裡用不到的App清空了，記憶體釋放好舒暢,4
每次看到新聞上的負面消息，就覺得世界快要毀滅了,2
今天試著做了簡單的伸展操，僵硬的肩膀鬆開了不少,4
覺得自己活得好卑微，連呼吸都像是在佔用別人的空間,2
今天收到了一封朋友寄來的明信片，心裡湧起一股暖意,4
對未來完全找不到方向，每天過一天算一天像具行屍走肉,1
今天傍晚的微風吹起來涼涼的，散步時心情很平靜,4
總覺得別人都在背後議論我的外表和身材，好焦慮,2
今天準時完成了一直在拖延的報告，覺得一身輕巧,4
心裡好像壓了一塊巨石，連擠出一個微笑都好費力,2
今天早上泡了一杯完美的熱拿鐵，開啟了美好的一天,4
覺得自己無論做什麼決定都是錯的，陷入嚴重的自我懷疑,2
今天晚餐自己煮了番茄炒蛋，簡單卻很美味,4
每次深夜情緒崩潰堤時，都覺得自己是世界上最孤獨的人,1
今天下班回家時剛好看到一隻可愛的橘貓，被療癒了,4
是我不值得被愛嗎?,2
我就這麼的糟糕嗎?,2
可是我真的很愛她啊,2
可是我真的很愛他阿,2
我的心就不是心嗎?,2
難道愛戀也是一種錯嗎?,2
我就這麼不完美嗎?,2
喜歡同性這有錯嗎?,2
我就是喜歡同性阿,3
